
"Date","Price","Open","High","Low","Change %"
"Nov 23, 2017","1,089.53","1,092.93","1,093.59","1,086.90","-0.32%"
"Nov 22, 2017","1,093.02","1,090.43","1,096.30","1,089.83","0.19%"
"Nov 21, 2017","1,090.92","1,088.83","1,095.03","1,088.49","0.24%"
"Nov 20, 2017","1,088.36","1,097.90","1,104.05","1,085.38","-0.82%"
"Nov 17, 2017","1,097.39","1,086.00","1,098.80","1,085.12","1.02%"
"Nov 16, 2017","1,086.28","1,083.99","1,088.47","1,081.86","0.21%"
"Nov 15, 2017","1,084.04","1,085.30","1,089.88","1,082.48","-0.09%"
"Nov 14, 2017","1,085.02","1,095.57","1,096.03","1,081.35","-0.98%"
"Nov 13, 2017","1,095.74","1,093.99","1,098.76","1,092.57","0.16%"
"Nov 10, 2017","1,093.98","1,103.49","1,104.87","1,091.88","-0.89%"
"Nov 09, 2017","1,103.81","1,105.12","1,108.60","1,102.64","-0.12%"
"Nov 08, 2017","1,105.13","1,100.62","1,111.16","1,099.91","0.40%"
"Nov 07, 2017","1,100.69","1,104.21","1,106.34","1,099.54","-0.32%"
"Nov 06, 2017","1,104.26","1,093.66","1,105.52","1,091.72","0.94%"
"Nov 03, 2017","1,093.93","1,094.62","1,098.25","1,090.05","-0.05%"
"Nov 02, 2017","1,094.53","1,096.86","1,099.76","1,092.96","-0.21%"
"Nov 01, 2017","1,096.88","1,091.88","1,101.32","1,089.13","0.46%"
"Oct 31, 2017","1,091.86","1,095.48","1,097.94","1,088.60","-0.32%"
"Oct 30, 2017","1,095.40","1,097.12","1,099.40","1,091.43","-0.12%"
"Oct 27, 2017","1,096.77","1,087.98","1,099.31","1,087.23","0.84%"
"Oct 26, 2017","1,087.60","1,081.21","1,089.75","1,079.94","0.58%"
"Oct 25, 2017","1,081.36","1,085.47","1,086.03","1,079.09","-0.39%"
"Oct 24, 2017","1,085.56","1,091.22","1,092.35","1,082.99","-0.52%"
"Oct 23, 2017","1,091.21","1,087.85","1,092.30","1,083.63","0.42%"
"Oct 20, 2017","1,086.69","1,088.03","1,089.79","1,083.47","-0.14%"
"Oct 19, 2017","1,088.24","1,086.92","1,091.56","1,082.12","0.13%"
"Oct 18, 2017","1,086.88","1,092.21","1,094.88","1,084.93","-0.50%"
"Oct 17, 2017","1,092.34","1,097.40","1,099.67","1,091.01","-0.48%"
"Oct 16, 2017","1,097.56","1,103.81","1,107.95","1,095.23","-0.53%"
"Oct 13, 2017","1,103.42","1,093.23","1,103.70","1,089.94","0.90%"
"Oct 12, 2017","1,093.57","1,089.47","1,094.36","1,088.48","0.39%"
"Oct 11, 2017","1,089.30","1,090.64","1,093.17","1,083.56","-0.14%"
"Oct 10, 2017","1,090.80","1,093.62","1,096.64","1,089.73","-0.27%"
"Oct 09, 2017","1,093.73","1,087.61","1,095.29","1,086.34","0.58%"
"Oct 06, 2017","1,087.46","1,082.97","1,088.72","1,077.84","0.43%"
"Oct 05, 2017","1,082.79","1,083.85","1,089.74","1,082.36","-0.10%"
"Oct 04, 2017","1,083.88","1,082.20","1,088.60","1,081.34","0.12%"
"Oct 03, 2017","1,082.56","1,083.86","1,086.82","1,080.80","-0.08%"
"Oct 02, 2017","1,083.38","1,082.77","1,086.99","1,080.29","0.04%"
"Sep 29, 2017","1,082.99","1,092.22","1,093.61","1,081.27","-0.85%"
"Sep 28, 2017","1,092.22","1,090.87","1,094.34","1,087.32","0.13%"
